e Babymakers,Jay Chandrasekhar
Q39079223,Indian Horse,Stephen Campanelli
Q39079225,It Ain't Easy,Maurice Hurley
Q39082065,Deliciosa Fruta Seca,Ana Caridad Sánchez
Q39082216,Hit,Claudia Abend
Q3908312,Pontormo – un amore eretico,Giovanni Fago
Q3908416,Poppea ... a prostitute in the service of the empire,Alfonso Brescia
Q3908441,All Is Well,Pocas Pascoal
Q3908464,Pigs Have Wings,Paolo Pietrangeli
Q3908494,Porfirio,Alejandro Landes
Q39086027,The Locker,Kei Horie
Q3908972,Take Me Away,Gianluca Maria Tavarelli
Q3908993,She Was a Lady,Hamilton MacFadden
Q390909,Dragon Trap,Uğur Yücel
Q390910,Agata and the Storm,Silvio Soldini
Q3909126,Port,Amleto Palermi
Q390914,Stopped on Track,Andreas Dresen
Q3909311,Getting My Brother Laid,Sven Taddicken
Q3909370,Porzûs,Renzo Martinelli
Q3909379,Special Treatment,Goran Paskaljević
Q3909390,Position Wanted,Ralph Ceder
Q3909579,A Kiss From Mary Pickford,Sergei Komarov
Q3910120,I Prefer the Sound of the Sea,Mimmo Calopresti
Q391052,Without Men,Gabriela Tagliavini
Q3910835,Prepotenti più di prima,Mario Mattoli
Q3911142,Land of the Free,Jerry Jameson
Q3911290,Futari wa Pretty Cure Max Heart the Movie 2: Friends of the Snow-Laden Sky,Junji Shimizu
Q3911291,Futari wa Pretty Cure Splash Star: Tick-Tock Crisis Hanging by a Thin Thread!,Junji Shimizu
Q3911407,Revelation,Mario Costa
Q3911410,The Land Unknown,Virgil W. Vogel
Q391143,Chinese Zodiac,Jackie Chan
Q391157,Two Tickets to London,Edwin L. Marin
Q391172,Secrets & Lies,Mike Leigh
Q3912102,Cosmos,Reha Erdem
Q391263,Shake It All About,Hella Joof
Q3913036,El Complejo de Felipe,Juan Carlos Thorry
Q3913158,La Comedia inmortal,Catrano Catrani
Q391343,The Great McGinty,Preston Sturges
Q39137276,Proxima,Alice Winocour
Q391452,Ball of Fire,Howard Hawks
Q3914903,Lokpal,Joshiy
Q3914923,Kshamichu Ennoru Vakku,Joshiy
Q391515,The Palm Beach Story,Preston Sturges
Q391540,The Four Feathers,Shekhar Kapur
Q391541,Imitation of Life,John M. Stahl
Q391542,Ned Kelly,Gregor Jordan
Q391544,Shiri,Kang Je-gyu
Q3915489,La Otra,Roberto Gavaldón
Q3916257,Izu no Odoriko,Katsumi Nishikawa
Q3916267,Vassa,Gleb Panfilov
Q3916287,My Father Evgeni,Andrei Zagdansky
Q3916376,Kakabakaba Ka Ba?,Mike De Leon
Q3916920,Teen-Age Strangler,Ben Parker
Q3917205,Daughter of Darkness,Lance Comfort
Q3917210,Master of Bankdam,Walter Forde
Q39172483,The Motive,Manuel Martín Cuenca
Q3917789,Poleskaya legenda,Nikolai Figurovsky
Q3917789,Poleskaya legenda,Pyatro Vasilewski
Q391784,Scream 3,Wes Craven
Q391840,All the Fine Promises,Jean-Paul Civeyrac
Q391943,Lesson of the Evil,Takashi Miike
Q392045,Rage at Dawn,Tim Whelan
Q3921588,First offenders,Frank McDonald
Q3921590,Kiss Me First,Ambrogio Lo Giudice
Q3921622,"Prima la trama, poi il fondo",Fulvio Wetzl
Q3921639,Trinity Plus the Clown and a Guitar,Franz Antel
Q3921672,The Sun Comes Up,Richard Thorpe
Q3921712,The Spirit of Culver,Joseph Santley
Q3921866,First Love,Carmine Gallone
Q3921867,First Love,Mario Camerini
Q3921872,Primo amore,Dino Risi
Q3921874,First Love,Matteo Garrone
Q3921965,Princess of the Dark,Charles Miller
Q3922028,The Mysterious Princess,Herbert Brenon
Q3922115,Prinz Louis Ferdinand,Hans Behrendt
Q3922118,The Prince and the Pauper,Alexander Korda
Q3922118,The Prince and the Pauper,Karl Hartl
Q3922166,Prison Farm,Louis King
Q3922168,Prisoners,William A. Seiter
Q3922169,Prisoner of War,Andrew Marton
Q3922417,Processo per stupro,Loredana Dordi
Q3922419,Processo per direttissima,Lucio De Caro
Q3922579,Father of Invention,Trent Cooper
Q3922584,Professionisti per un massacro,Nando Cicero
Q3922592,Professor Kranz tedesco di Germania,Luciano Salce
Q3922652,The Deep Purple,Raoul Walsh
Q3922746,The Internecine Project,Ken Hughes
Q3922830,Proibito,Mario Monicelli
Q3922876,Prom Night III: The Last Kiss,Ron Oliver
Q3922879,Promeny,Tomáš Řehořek
Q3922880,Promise of Love,Ugo Fabrizio Giordani
Q3922908,Promises in the Dark,Jerome Hellman
Q3922913,Promises Written in Water,Vincent Gallo
Q392328,Age of the Dragons,Ryan Little
Q392355,Rambo III,Peter MacDonald
Q3923931,Pronto... c'è una certa Giuliana per te,Massimo Franciosa
Q3924049,Firingoti,Jahnu Barua
Q3924120,Prosperity,Sam Wood
Q3924161,Prostituzione,Rino Di Silvestro
Q392424,Act of Love,Anatole Litvak
Q3924375,Prova a volare,Lorenzo Cicconi Massi
Q392441,Girl with a Pearl Earring,Peter Webber
Q3924798,Prunella,Maurice Tourneur
Q392490,The Annunciation,András Jeles
Q3925033,Psycosissimo,Stefano Vanzina
Q3925282,Public Opinion,Frank Reicher
Q3925355,Puccini,Glauco Pellegrini
Q3925355,Puccini,Carmine Gallone
Q3925372,Pudd'nhead Wilson,Frank Reicher
Q3925481,Pugni pupe e marinai,Daniele D'Anza
Q3925483,Killer McCoy,Roy Rowland
Q3925559,Pummarò,Michele Placido
Q3925601,Punk's Not Dead,Susan Dynner
Q3925820,The Ledge,Matthew Chapman
Q3925821,Point of Origin,Newton Thomas Sigel
Q3925889,Puppy Love,Roy William Neill
Q3925962,Mr. Soft Touch,Gordon Douglas
Q3925962,Mr. Soft Touch,Henry Levin
Q3926003,"Pussycat, Pussycat, I Love You",Rod Amateau
Q3926029,Puttin' on the Ritz,Edward Sloman
Q3926502,Autumn Moon,Clara Law
Q3926530,Qua la mano,Pasquale Festa Campanile
Q392662,Spy Hard,Rick Friedberg
Q3926654,Scattered Cloud,Saverio Di Biagio
Q3926677,High Frequency,Faliero Rosati
Q3926677,High Frequency,Giuseppe Rosati
Q3926679,Someone to Run With,Oded Davidoff
Q3926680,Someone to Love,Henry Jaglom
Q3926684,The Opponent,Sergio Martino
Q392677,Agent Cody Banks,Harald Zwart
Q392684,Hamilton: In the Interest of the Nation,Kathrine Windfeld
Q392686,Max Rules,Robert Burke
Q3926951,Qualunquemente,Giulio Manfredonia
Q392696,The Texas Chainsaw Massacre,Marcus Nispel
Q3926963,Touch of Death,Lucio Fulci
Q3926968,Manos torpes,Rafael Romero Marchent
Q392697,The Man Who Knew Too Little,Jon Amiel
Q3926972,Quando c'era lui... caro lei!,Giancarlo Santi
Q3926984,When We Were Repressed,Pino Quartullo
Q3926990,When Men Carried Clubs and Women Played Ding-Dong,Bruno Corbucci
Q3926998,Quando la coppia scoppia,Stefano Vanzina
Q3926999,When Hell Broke Loose,Kenneth G. Crane
Q3927000,I'll Take Romance,Edward H. Griffith
Q3927003,When Women Were Called Virgins,Aldo Grimaldi
Q3927004,When the Night,Cristina Comencini
Q3927008,When Women Lost Their Tails,Pasquale Festa Campanile
Q3927011,When I Grow Up,Michael Kanin
Q3927012,The Legend of Lylah Clare,Robert Aldrich
Q3927018,Quando si diventa grandi,Massimo Bonetti
Q3927026,Sunset in Naples,Guido Brignone
Q3927029,It Happens Every Spring,Lloyd Bacon
Q3927033,Bring Your Smile Along,Blake Edwards
Q3927047,Four Times that Night,Mario Bava
Q3927059,Quanto sei bella Roma,Marino Girolami
Q3927103,Quarta pagina,Nicola Manzari
Q3927107,The Miracle Kid,William Beaudine
Q3927237,In High Places,Mario Soldati
Q3927313,Quasi quasi,Gianluca Fumagalli
Q3927366,Quattro bravi ragazzi,Claudio Camarca
Q3927383,"Stop, You're Killing Me",Roy Del Ruth
Q3927514,Queen X,John B. O'Brien
Q3927518,Queen of the Sea,John G. Adolfi
Q392756,Agent Ranjid rettet die Welt,Michael Karen
Q3927563,Those Two,Gennaro Righelli
Q3927581,Quel fantasma di mio marito,Camillo Mastrocinque
Q3927582,Terrible Day of the Big Gundown,Sergio Garrone
Q3927584,Quel movimento che mi piace tanto,Franco Rossetti
Q3927586,That Cold Day in the Park,Robert Altman
Q3927604,That Malicious Age,Silvio Amadio
Q3927605,Quella peste di Pierina,Michele Massimo Tarantini
Q3927608,Fire Sale,Alan Arkin
Q392761,Agent Red,Jim Wynorski
Q392761,Agent Red,Damian Lee
Q3927613,Ratman,Giuliano Carnimeo
Q3927634,Colt 38 Special Squad,Massimo Dallamano
Q3927636,Men of the Mountain,Aldo Vergano
Q3927648,Red Hair,Clarence G. Badger
Q3927653,What Girls Never Say,Carlo Vanzina
Q3927666,That Funny Feeling,Richard Thorpe
Q392769,Agent trouble,Jean-Pierre Mocky
Q3927723,This Night Is Still Ours,Paolo Genovese
Q3927723,This Night Is Still Ours,Luca Miniero
Q3927735,Questa volta parliamo di uomini,Lina Wertmüller
Q3927741,It's a Date,William A. Seiter
Q3927741,It's a Date,Joe Pasternak
Q3927741,It's a Date,Frederick Kohner
Q3927741,It's a Date,Ralph Block
Q3927741,It's a Date,Norman Krasna
Q3927748,Ghosts – Italian Style,Renato Castellani
Q3927749,"Questi pazzi, pazzi italiani",Tullio Piacentini
Q3927750,These Children,Mario Mattoli
Q3927760,A Question of the Heart,Francesca Archibugi
Q3927778,Questo e Quello,Sergio Corbucci
Q3927782,Questo mondo è per te,Francesco Falaschi
Q3927788,"Questo pazzo, pazzo mondo della canzone",Giovanni Grimaldi
Q3927788,"Questo pazzo, pazzo mondo della canzone",Bruno Corbucci
Q3927808,Qui comincia l'avventura,Carlo Di Palma
Q3927817,This Is Not Paradise,Gianluca Maria Tavarelli
Q3927836,Quicker'n Lightnin',Richard Thorpe
Q392785,All Through the Night,Vincent Sherman
Q392786,The Uranium Conspiracy,Gianfranco Baldanello
Q392786,The Uranium Conspiracy,Menahem Golan
Q3928042,"Quo Vadis, Baby?",Gabriele Salvatores
Q392806,Where Eagles Dare,Brian G. Hutton
Q3928071,Up Periscope,Gordon Douglas
Q3928247,Rec 4: Apocalypse,Jaume Balagueró
Q392825,Jobs,Joshua Michael Stern
Q392834,Secret Agents,Frédéric Schoendoerffer
Q3928476,Prisoner Number Seven,Lajos Lázár
Q3928476,Prisoner Number Seven,Paul Sugar
Q3928514,Girls for the Summer,Gianni Franciolini
Q3928528,Racconti proibiti... di niente vestiti,Brunello Rondi
Q3928535,Racconto di guerra,Mario Amura
Q3928628,The World and the Woman,Frank Lloyd
Q3928628,The World and the Woman,Eugene Moore
Q3928650,Square Root of 3,Lorenzo Bianchini
Q3928727,Devil Doll,Lindsay Shonteff
Q39288119,Daddy's Little Girl,Chris Sun
Q3928833,Radio West,Alessandro Valori
Q3928861,Radiofreccia,Luciano Ligabue
Q392915,Broken Arrow,John Woo
Q392924,Airport 1975,Jack Smight
Q39292856,Atlantis Rising,Simcha Jacobovici
Q3929292,Raffles,King Baggot
Q3929301,"Rag. Arturo De Fanti, bancario precario",Luciano Salce
Q3929307,Ragazza alla pari,Mino Guerrini
Q39293164,T-34,Aleksey Sidorov
Q3929333,Naked Girl Killed in the Park,Alfonso Brescia
Q3929334,Playgirl,Joseph Pevney
Q3929341,Girls of Today,Luigi Zampa
Q3929344,Ragazze da marito,Eduardo De Filippo
Q3929363,Ragazzi della notte,Jerry Calà
Q3929377,Ragazzi fuori,Marco Risi
Q3929387,Rage,Joseph Merhi
Q3929389,Rage,Tonino Ricci
Q3929462,Sukumarudu,G. Ashok
Q392960,Tine,Knud Leif Thomsen
Q3929646,Rainbow Bridge,Chuck Wein
Q3929724,Rakht,Mahesh Manjrekar
Q392973,The White Moor,Ion Popescu-Gopo
Q3929845,Ramata,Léandre-Alain Baker
Q3929915,Ramona,Donald Crisp
Q39299847,Uttara: El mite,Albert Muns
Q3930134,Ranma ½ One Grew Over the Kuno's Nest,Junji Nishimura
Q3930227,The Show Must Go On,Nevio Marasović
Q3930254,Reprisal!,George Sherman
Q3930287,Rapsodia satanica,Nino Oxilia
Q3930412,"Rasputin, Demon with Women",Adolf Trotz
Q3930514,Raul: Straight to Kill,Andrea Bolognini
Q3930626,Diamonds Are a Man's Best Friend,Vittorio Sala
Q393067,Magnús,Þráinn Bertelsson
Q3930894,The Joker King,Enrico Guazzoni
Q3930928,King of Diamonds,Enrico Guazzoni
Q3930951,Reaching for the Moon,John Emerson
Q3931261,Rebound,Edward H. Griffith
Q3931454,Red Room,Daisuke Yamanouchi
Q3931456,Red Secret Room 2,Daisuke Yamanouchi
Q3931523,Redemption,Marcello Albani
Q3931525,Redenzione,Carmine Gallone
Q3931526,Redenzione,Piero Caserini
Q3931557,Redwood Forest Trail,Philip Ford
Q3931630,Refuge,Victor Schertzinger
Q3931671,Refused Are Fucking Dead,Kristofer Steen
Q3931679,Regalo di Natale,Pupi Avati
Q3931817,Regine,Erich Waschneck
Q3931818,Regina,Salvatore Piscicelli
Q3931846,Queen of the Scala,Guido Salvini
Q3931846,Queen of the Scala,Camillo Mastrocinque
Q3932155,Luck,Soham Shah
Q3932240,Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj
Q3932354,Jhootha Hi Sahi,Abbas Tyrewala
Q3932402,"Rembrandt, painter of man",Bert Haanstra
Q3932403,Rembrandt: Fathers & Sons,David Devine
Q3932521,Remote Control,Malcolm St. Clair
Q3932521,Remote Control,Nick Grinde
Q3932521,Remote Control,Edward Sedgwick
Q3932523,Remote access,Svetlana Proskurina
Q3932589,Kidnap,Sanjay Gadhvi
Q3932920,Rendez-vous à Melbourne,René Lucot
Q3933424,Resisting Paradise,Barbara Hammer
Q3933533,Restless Wives,Gregory La Cava
Q3933545,Resurrection,Alessandro Blasetti
Q3933549,Resurrection,Edwin Carewe
Q3933567,Resurrection,Flavio Calzavara
Q3933658,Ek Main Aur Ekk Tu,Shakun Batra
Q3933665,Break Ke Baad,Danish Aslam
Q3933903,Reveille with Beverly,Charles Barton
Q3933907,Revelation,George D. Baker
Q3933913,Revenge,Pino Tosini
Q3933914,Revenge,Tod Browning
Q3933925,Reverend's Colt,León Klimovsky
Q3933925,Reverend's Colt,Marino Girolami
Q3933956,Revolt in the Reformatory,Georg Asagaroff
Q3933980,Revolver,Sergio Sollima
Q3934267,"Rick and John, Conquerors of the West",Osvaldo Civirani
Q3934349,The Summertime Killer,Antonio Isasi-Isasmendi
Q393449,Agha Yousef,Ali Rafie
Q3934664,Don't Play with Tigers,Sergio Martino
Q3934666,Wealth Without a Future,Ferdinando Maria Poggioli
Q3934694,Rice University,Roberto Rossellini
Q3934694,Rice University,Beppe Cino
Q3934909,Richard the Brazen,Perry N. Vekroff
Q3934911,Richard the Lion-Hearted,Chester Withey
Q3934915,Richelieu,Allan Dwan
Q3935064,Ricky & Barabba,Christian De Sica
Q3935101,Ricomincio da tre,Massimo Troisi
Q3935114,Ricordare,Gabriella Romano
Q3935193,Laugh! Laugh! Laugh!,Edoardo Anton
Q3935203,Riderà!,Bruno Corbucci
Q3935237,Ridolini e la collana della suocera,Larry Semon
Q3935311,Reflections of Light,Mario Bianchi
Q3935803,Rikki-Tikki-Tavi,Aleksandr Zguridi
Q3935870,Rimini Rimini - Un anno dopo,Giorgio Capitani
Q3935870,Rimini Rimini - Un anno dopo,Bruno Corbucci
Q3935956,Antártida,Manuel Huerga
Q3936034,Nebraska-Jim,Antonio Román
Q3936034,Nebraska-Jim,Mario Bava
Q3936036,The Texican,Lesley Selander
Q3936056,Renegade Girl,William Berke
Q3936127,Gallant Lady,Gregory La Cava
Q3936335,Riparo,Marco Simon Puccioni
Q3936363,Peopling the Palaces at Venaria Reale,Peter Greenaway
Q3936381,Riprendimi,Anna Negri
Q3936389,Disowned,Giorgio Walter Chili
Q3936434,The Fatal Warning,Richard Thorpe
Q3936442,The Fire Detective,Spencer Gordon Bennet
Q3936465,Wilde Salome,Al Pacino
Q3936658,The Yellow Cameo,Spencer Gordon Bennet
Q3937081,Fighting Friends Japanese Style,Yasujirō Ozu
Q3937200,West of Broadway,Harry Beaumont
Q3937203,"Rita, la figlia americana",Piero Vivarelli
Q3937254,Rita the Mosquito,Lina Wertmüller
Q3937269,Black Magic Rites,Renato Polselli
Q3937291,Broadway Rhythm,Roy Del Ruth
Q3937337,Homecomings,Giovanna Taviani
Q3937349,Return to home Gori,Alessandro Benvenuti
Q3937358,Return to the Lost World,Timothy Bond
Q3937362,Frankenstein 2000,Joe D'Amato
Q39377356,Storytelling Man - Spurensuche mit Henning Mankell,David Spaeth
Q3937834,Riuscirà l'avvocato Franco Benenato a sconfiggere il suo acerrimo nemico il pretore Ciccio De Ingras?,Mino Guerrini
Q3937859,Rivalry,Giuliano Biagetti
Q3937862,Silver Queen,Lloyd Bacon
Q3937900,"So Sweet, So Dead",Roberto Bianchi Montero
Q3938108,Road Trip: Beer Pong,Steve Rash
Q3939270,Robin Hood Outlawed,Charles Raymond
Q39394,The Green Archer,Spencer Gordon Bennet
Q3940112,"Roger Touhy, Gangster",Robert Florey
Q3940179,Rogues and Romance,George B. Seitz
Q3940339,Rolled Stockings,Richard Rosson
Q3940360,Rollin' with the Nines,Julian Gilbey
Q3940475,Roma Bene,Carlo Lizzani
Q3940522,Roman Polanski: A Film Memoir,Laurent Bouzereau
Q3940537,Vacanze di Natale,Carlo Vanzina
Q3940545,Romance,Massimo Mazzucco
Q3940640,Time for Loving,Carlo Vanzina
Q3940740,Romanticismo,Arrigo Frusta
Q3940740,Romanticismo,Carlo Campogalliani
Q3940744,Romanticismo,Clemente Fracassi
Q3940763,Romans,Åke Ohberg
Q3940773,Romanzo di un giovane povero,Guido Brignone
Q3940834,Romeo and Juliet,J. Gordon Edwards
Q3940839,Romeo and Juliet,Ugo Falena
Q39409,Our Very Own,David Miller
Q3941070,Ronda di mezzanotte,Lloyd French
Q3941107,Rondini in volo,Luigi Capuano
Q3941276,Rosa and Cornelia,Giorgio Treves
Q3941437,Rose o' the Sea,Fred Niblo
Q3941439,Rose of the Rancho,Oscar Apfel
Q3941439,Rose of the Rancho,Wilfred Buckland
Q3941439,Rose of the Rancho,Cecil B. DeMille
Q3941451,Roseland,James Ivory
Q3941640,Rossini! Rossini!,Mario Monicelli
Q3941641,Rossini,Mario Bonnard
Q3941662,Little Boy Red,Pasquale Scimeca
Q3941684,Red Like the Sky,Cristiano Bortone
Q3941726,Rosy-Fingered Dawn,Carlo Hintermann
Q3941736,Rails,Mario Camerini
Q3941848,Rouge Parole,Elyes Baccar
Q3941850,Rough,Kentarō Ōtani
Q3942068,Royal Journey,David Bairstow
Q3942103,The Charmer,Guido Brignone
Q39422,My Forbidden Past,Robert Stevenson
Q3942368,Rugantino,Pasquale Festa Campanile
Q3942659,Rumpelstiltskin,Raymond B. West
Q3942692,Runaway Daughters,Edward L. Cahn
Q3942819,Rupert of Hentzau,Victor Heerman
Q3942852,Rush,Tonino Ricci
Q3942919,Russian Snark,Stephen Sinclair
Q3943335,S.O.S.,William Buckley
Q3943336,S.O.S.,Thomas Robsahm
Q3943872,The Berlin File,Ryu Seung-wan
Q3943929,SS Camp 5: Women's Hell,Sergio Garrone
Q3944232,"Saturday, Sunday and Friday",Franco Castellano
Q3944232,"Saturday, Sunday and Friday",Giuseppe Moccia
Q3944232,"Saturday, Sunday and Friday",Pasquale Festa Campanile
Q3944232,"Saturday, Sunday and Friday",Castellano and Pipolo
Q3944232,"Saturday, Sunday and Friday",Sergio Martino
Q3944238,Sabato italiano,Luciano Manuzzi
Q3944269,Quicksand,Irving Pichel
Q3944627,"Private Detective, or Operation Cooperation",Leonid Gaidai
Q3944762,Tusks,Tara Moore
Q3944895,Love in the Desert,George Melford
Q3944897,Sahara,Arthur Rosson
Q3944899,Sahara Cross,Tonino Valerii
Q3944974,"Saint, Devil and Woman",Frederic Richard Sullivan
Q3945125,Saint Tropez - Saint Tropez,Franco Castellano
Q3945125,Saint Tropez - Saint Tropez,Giuseppe Moccia
Q3945148,Season in Cairo,Reinhold Schünzel
Q3945638,"Sally, Irene and Mary",William A. Seiter
Q3945640,Sally,Alfred E. Green
Q3945640,Sally,Alfred Edward Green
Q3945652,Sally and Saint Anne,Rudolph Maté
Q3945686,Salome of the Tenements,Sidney Olcott
Q3945695,Salomy Jane,George Melford
Q3945702,Salome,Carmelo Bene
Q3945703,Salome,Claude d'Anna
Q3945870,"Greetings and Kisses, Veronika",Carl Boese
Q3945918,Salvate mia figlia,Sergio Corbucci
Q3945931,Salvatore - Questa è la vita,Gian Paolo Cugno
Q3946268,Poor Sinner,Pier Antonio Gariazzo
Q3946290,Salvo D'Acquisto,Romolo Guerrieri
Q3946317,Sam,Larry Buchanan
Q3946535,"Samoa, Queen of the Jungle",Guido Malatesta
Q3946554,Samson,Edgar Lewis
Q394674,Agnes and His Brothers,Oskar Roehler
Q39469588,Saint George,Marco Martins
Q3947219,St. George and the Dragon,Giuseppe de Liguoro
Q3947270,"Saint John, the Beheaded",Amleto Palermi
Q3947270,"Saint John, the Beheaded",Giorgio Bianchi
Q3947802,Imperium: Saint Peter,Giulio Base
Q3947858,San Quentin,Gordon Douglas
Q3948125,Temple of the White Elephant,Umberto Lenzi
Q3948136,Sandokan to the Rescue,Luigi Capuano
Q3948137,Sandokan Against the Leopard of Sarawak,Luigi Capuano
Q394816,Agnes of God,Norman Jewison
Q3948181,Sandrine in the Rain,Tonino Zangardi
Q3948396,Blue Blood,Nino Oxilia
Q3948408,Sangue di zingara,Maria Basaglia
Q3948410,A Dog of Flanders,James B. Clark
Q3948416,Mixed Blood,Paul Morrissey
Q3948417,Sunshine Follows Rain,Gustaf Edgren
Q3948418,Sangue sul sagrato,Goffredo Alessandrini
Q39486970,Conny Plank – The Potential of Noise,Reto Caduff
Q39486970,Conny Plank – The Potential of Noise,Stephan Plank
Q394908,Indhu,V. K. Pavithran
Q394978,Agnosía,Eugenio Mira
Q3950205,Sapore di mare 2 - Un anno dopo,Bruno Cortini
Q3950272,Sara May,Marianna Sciveres
Q3950357,Sarahsarà,Renzo Martinelli
Q3950734,Satan's Sadists,Al Adamson
Q3950741,Satan,Luigi Maggi
Q3950747,Satanik,Piero Vivarelli
Q3950770,Satiricosissimo,Mariano Laurenti
Q3950846,The Hour of the Furnaces,Octavio Getino
Q3950846,The Hour of the Furnaces,Fernando Solanas
Q3950966,Savana violenta,Mario Morra
Q3950966,Savana violenta,Antonio Climati
Q3951089,Saving Mom & Dad,Kartik Singh
Q3951092,Saving the Family Name,Phillips Smalley
Q3951092,Saving the Family Name,Lois Weber
Q3951121,"Savoia, urrah!",Edoardo Bencivenga
Q3951186,Say It in Russian,Jeff Celentano
Q3951239,An Ideal Adventure,Stefano Vanzina
Q3951298,Sbirri,Roberto Burchielli
Q3951342,Kounterfeit,John Mallory Asher
Q3951343,Check to the Queen,Pasquale Festa Campanile
Q3951455,Scalps,Bruno Mattei
Q3951455,Scalps,Claudio Fragasso
Q3951487,Scampolo,Augusto Genina
Q3951489,Scampolo,Nunzio Malasomma
Q3951506,Submission,Salvatore Samperi
Q3951509,Glamour,William Wyler
Q3951526,Scandalo in famiglia,Marcello Andrei
Q3951528,Broadway Scandals,George Archainbaud
Q3951530,Lover Come Back,William A. Seiter
Q3951534,Secret Scandal,Monica Vitti
Q3951536,Scandalous Gilda,Gabriele Lavia
Q3951562,Go away! Trinity has arrived in Eldorado,Joe D'Amato
Q3951626,Scarlet Days,D. W. Griffith
Q3951628,Scarlet and Gold,Francis J. Grandon
Q3951684,Big Shoes,Dino Falconi
Q3951705,Scars of Jealousy,Lambert Hillyer
Q3951743,Scatterbrain,Gus Meins
Q3951781,The Lesser Evil,David Mackay
Q3951821,Scenes from the Life of Andy Warhol: Friendships and Intersections,Jonas Mekas
Q3952004,A Joke of Destiny,Lina Wertmüller
Q3952005,Romantic Comedy,Arthur Hiller
Q3952022,Mr. Hercules Against Karate,Antonio Margheriti
Q3952041,Vamping Venus,Edward F. Cline
Q3952042,Under Your Spell,Otto Preminger
Q3952104,The Prince of Rogues,Curtis Bernhardt
Q3952118,Schizoid,David Paulsen
Q3952382,Sciopèn,Luciano Odorisio
Q3952417,Scipio the African,Luigi Magni
Q3952788,Scotland Yard,William K. Howard
Q395279,Agony,Elem Klimov
Q39529683,Peret i l'origen de la rumba catalana,Carles Prats
Q3953032,Scrambled Wives,Edward H. Griffith
Q3953036,Scratch,Doug Pray
Q3953044,Scream Queen Hot Tub Party,Jim Wynorski
Q3953044,Scream Queen Hot Tub Party,Fred Olen Ray
Q3953184,Scugnizzi,Nanni Loy
Q3953300,Scuola di ladri,Neri Parenti
Q3953303,Scuola di ladri - Parte seconda,Neri Parenti
Q3953394,Scusa se è poco,Marco Vicario
Q3953399,Scusate il ritardo,Massimo Troisi
Q3953400,Scusi lei è normale?,Umberto Lenzi
Q3953403,"Excuse Me, Padre, Are You Horny?",Salvatore Bugnatelli
Q3953404,"Scusi, facciamo l'amore?",Vittorio Caprioli
Q3953467,What if Gargiulo Finds Out?,Elvio Porta
Q3953482,Se non avessi più te,Ettore Maria Fizzarotti
Q3953514,If You Won a Hundred Million,Carlo Campogalliani
Q3953523,The Thing Below,Jim Wynorski
Q3953549,Sealed Lips,Tony Gaudio
Q3954083,Secret Love,Robert Z. Leonard
Q3954083,Secret Love,Robert Zigler Leonard
Q3954085,Secret Service,Hugh Ford
Q395411,Agora,Alejandro Amenábar
Q3954181,Sedotti e bidonati,Giorgio Bianchi
Q3954194,Papacito lindo,Fernando de Fuentes
Q3954318,Segni particolari: bellissimo,Franco Castellano
Q3954318,Segni particolari: bellissimo,Giuseppe Moccia
Q3954347,Miss Grant Takes Richmond,Lloyd Bacon
Q3954384,Secret File,Paolo Benvenuti
Q3954398,State Secret,Giuseppe Ferrara
Q3954440,Follow Me Quietly,Richard Fleischer
Q3954440,Follow Me Quietly,Anthony Mann
Q3954917,Judge Hardy's Children,George B. Seitz
Q3954945,Selvaggi,Carlo Vanzina
Q3954950,Savages,James Ivory
Q3954957,Escort West,Francis D. Lyon
Q3955147,Clash of Loyalties,Mohamemd Shukri Jameel
Q3955351,Dangerous Affairs,Ninì Grassia
Q3955365,Sensi caldi,Arduino Sacco
Q3955375,Senso '45,Tinto Brass
Q3955387,Barefoot Savage,Clemente Fracassi
Q3955449,Sentimental Tommy,John S. Robertson
Q3955464,Sentinels of Bronze,Romolo Marcellini
Q3955489,Skin Deep,Marcello Aliprandi
Q3955490,Senza bandiera,Lionello De Felice
Q3955503,Without Family,Vittorio Gassman
Q3955506,Senza filtro,Domenico Raimondi
Q3955522,Relentless,William Lustig
Q3955532,No Skin,Alessandro D'Alatri
Q3955552,Senza sapere niente di lei,Luigi Comencini
Q3955567,Without a Woman,Alfredo Guarini
Q3955577,Seoul '88: 16 Days of Glory,Bud Greenspan
Q3955663,Sepolta viva,Aldo Lado
Q3955678,September Rain,Abdullatif Abdulhamid
Q3955721,Evening – Night – Morning,F. W. Murnau
Q3955867,Serenata,Raoul Walsh
Q3955878,Honeymoon,William Keighley
Q3955879,Serenata amara,Pino Mercanti
Q3955881,Serenate per 16 bionde,Marino Girolami
Q3955883,Serenata tragica,Giuseppe Guarino
Q3955977,Flap,Carol Reed
Q3956365,Serial Rapist,Kōji Wakamatsu
Q3956817,The Great Victor Herbert,Andrew L. Stone
Q3958185,Flying Sex,Marino Girolami
Q3958248,Set Free,Tod Browning
Q3958304,Seven Years of Good Luck,Ernst Marischka
Q3958304,Seven Years of Good Luck,Roberto Savarese
Q3958305,Seven Years of Happiness,Ernst Marischka
Q3958312,Up the MacGregors!,Franco Giraldi
Q3958319,Sette giorni all'altro mondo,Mario Mattoli
Q3958324,Seven Hours of Violence,Michele Massimo Tarantini
Q3958326,Seven Hours of Gunfire,Joaquín Luis Romero Hernández Marchent
Q3958332,Río Maldito,Juan Xiol Marchal
